;"MeanDecreaseGini"
"fBodyAcc.bandsEnergy...57.64";0.7224778045
"fBodyAcc.bandsEnergy...49.64";0.7161636164
"tBodyAcc.arCoeff...X.2";0.712376911
"fBodyAccJerk.bandsEnergy...49.56.2";0.709547304
"fBodyBodyAccJerkMag.maxInds";0.7039934815
"fBodyAccJerk.bandsEnergy...57.64.1";0.7032366552
"tBodyAccJerk.arCoeff...X.2";0.6922835557
"tBodyAccJerk.arCoeff...Y.3";0.6907399116
"tBodyGyroJerkMag.min..";0.6901703053
"fBodyBodyGyroJerkMag.entropy..";0.6844847161
"fBodyAccMag.min..";0.6820802372
"angle.tBodyAccMean.gravity.";0.6802288819
"angle.tBodyAccJerkMean..gravityMean.";0.6708928762
"fBodyAcc.bandsEnergy...49.64.2";0.658411036
"fBodyAcc.bandsEnergy...57.64.1";0.6541881162
"fBodyAccJerk.iqr...Y";0.6519364318
"fBodyAcc.bandsEnergy...57.64.2";0.6345301988
"tBodyAccJerk.mean...Y";0.6224545178
"tBodyAcc.arCoeff...Z.3";0.6199351198
"fBodyAccJerk.bandsEnergy...57.64.2";0.6168170155
"fBodyAccJerk.min...Y";0.6158287114
"fBodyAcc.min...X";0.6092803155
"fBodyAccJerk.bandsEnergy...49.56.1";0.5996705851
"fBodyAcc.min...Z";0.5992589424
